rule_id,clause,test_number,object,tags,status,description,rationale,implementation_paths,evidence
5-1,5,1,MainXMPPackage,metadata,covered,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema,PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-2,5,2,PDFUAIdentification,metadata,covered,"The value of ""pdfuaid:part"" shall be the part number of the International Standard to which the file conforms",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-3,5,3,PDFUAIdentification,metadata,covered,"Property ""part"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-4,5,4,PDFUAIdentification,metadata,covered,"Property ""amd"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-5,5,5,PDFUAIdentification,metadata,covered,"Property ""corr"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
6.1-1,6.1,1,CosDocument,syntax,unproven,"The file header shall consist of ""%PDF-1.n"" followed by a single EOL marker, where 'n' is a single digit number between 0 (30h) and 7 (37h)","Outputs currently pass the validator, but the app has no dedicated header normalization or repair path for malformed PDF version markers.",backend/app/pipeline/validator.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
6.2-1,6.2,1,CosDocument,syntax,covered,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-1,7.1,1,SEMarkedContent,artifact,covered,Content marked as Artifact should not be present inside tagged content,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-2,7.1,2,SEMarkedContent,artifact,covered,Tagged content should not be present inside content marked as Artifact,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-3,7.1,3,SESimpleContentItem,artifact,covered,Content shall be marked as Artifact or tagged as real content,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
